Released,Title,"Maximum
Theaters","Infl. Adj. Dom.
Box Office",space_theme
2/13/1998,*Sphere*,2814,83225824,TRUE
4/3/1998,*Lost In Space*,3306,155183074,TRUE
5/8/1998,*Deep Impact*,3280,315371615,TRUE
5/19/1998,*Godzilla*,3310,306053197,FALSE
6/19/1998,*The X Files: Fight the Future*,2650,188368706,TRUE
7/1/1998,*Armageddon*,3184,452583844,TRUE
12/11/1998,*Star Trek: Insurrection*,2677,155597503,TRUE
12/25/1998,*Mighty Joe Young*,2559,109804344,FALSE
2/12/1999,*My Favorite Martian*,2349,76384157,TRUE
3/31/1999,*The Matrix*,2908,358167831,FALSE
5/19/1999,*Star Wars Ep. I: The Phantom Menace*,3126,950984739,TRUE
12/17/1999,*Bicentennial Man*,2767,118463406,FALSE
1/14/2000,*Supernova*,2280,27778224,TRUE
3/10/2000,*Mission to Mars*,3101,118925725,TRUE
5/12/2000,*Battlefield Earth: A Saga of the Year…*,3307,41947466,TRUE
6/16/2000,*Titan A.E.*,2775,44448667,TRUE
8/4/2000,*Space Cowboys*,2835,176687061,TRUE
8/4/2000,*Hollow Man*,2956,143023062,FALSE
11/10/2000,*Red Planet*,2703,34130878,TRUE
11/17/2000,*The 6th Day*,2518,67464109,FALSE
6/29/2001,*Artificial Intelligence: AI*,3242,146260373,FALSE
7/11/2001,*Final Fantasy: The Spirits Within*,2649,59778821,FALSE
7/18/2001,*Jurassic Park III*,3470,337045788,FALSE
7/27/2001,*Planet of the Apes*,3530,334889981,TRUE
2/8/2002,*Rollerball*,2762,34418305,FALSE
3/8/2002,*The Time Machine*,2958,102735134,FALSE
5/16/2002,*Star Wars Ep. II: Attack of the Clones*,3161,563068163,FALSE
6/21/2002,*Minority Report*,3001,239280582,FALSE
7/3/2002,*Men in Black 2*,3641,345113590,TRUE
8/2/2002,*Signs*,3453,413155312,TRUE
9/27/2002,*The Tuxedo*,3022,91655426,FALSE
12/13/2002,*Star Trek: Nemesis*,2711,78167233,TRUE
3/21/2003,*Dreamcatcher*,2945,58823518,FALSE
3/28/2003,*The Core*,3019,54328608,FALSE
5/15/2003,*The Matrix Reloaded*,3603,491668382,FALSE
7/1/2003,*Terminator 3: Rise of the Machines*,3504,262565971,FALSE
11/5/2003,*The Matrix Revolutions*,3502,243154990,FALSE
11/26/2003,*Timeline*,2787,33999991,FALSE
12/25/2003,*Paycheck*,2762,93163996,FALSE
5/28/2004,*The Day After Tomorrow*,3444,316647440,FALSE
6/11/2004,*The Chronicles of Riddick*,2759,97860745,TRUE
7/16/2004,"*I, Robot*",3494,245532169,FALSE
7/30/2004,*Thunderbirds*,2062,11476257,TRUE
8/13/2004,*AVP: Alien Vs. Predator*,3401,136128807,TRUE
9/10/2004,*Resident Evil: Apocalypse*,3284,86037513,FALSE
9/17/2004,*Sky Captain and the World of Tomorrow*,3170,64027960,FALSE
5/19/2005,*Star Wars Ep. III: Revenge of the Sith*,3663,624687848,TRUE
6/29/2005,*War of the Worlds*,3910,384863044,TRUE
7/22/2005,*The Island*,3138,58841356,FALSE
7/29/2005,*Stealth*,3495,52759638,FALSE
9/2/2005,*A Sound of Thunder*,816,3121955,FALSE
12/2/2005,*Aeon Flux*,2608,42445977,FALSE
3/17/2006,*V for Vendetta*,3365,113355903,FALSE
11/22/2006,*Déjà Vu*,3108,102760606,FALSE
12/25/2006,*Children of Men*,1524,54514547,FALSE
4/27/2007,*Next*,2733,27872373,FALSE
7/2/2007,*Transformers*,4050,488613713,TRUE
8/17/2007,*The Invasion*,2776,23071398,TRUE
12/14/2007,*I am Legend*,3648,389201152,FALSE
2/14/2008,*Jumper*,3430,117578349,FALSE
5/9/2008,*Speed Racer*,3606,64449707,FALSE
6/13/2008,*The Happening*,2986,94604089,FALSE
6/27/2008,*WALL-E*,3992,328231114,TRUE
6/27/2008,*Wanted*,3185,197266714,FALSE
7/11/2008,*Meet Dave*,3011,17310341,TRUE
8/22/2008,*Death Race*,2586,53260140,FALSE
12/12/2008,*The Day the Earth Stood Still*,3560,116088248,TRUE
1/23/2009,*Outlander*,81,233060,TRUE
3/13/2009,*Race to Witch Mountain*,3268,94310323,FALSE
5/8/2009,*Star Trek*,4053,361852952,TRUE
5/21/2009,*Terminator Salvation*,3602,175952751,FALSE
6/24/2009,*Transformers: Revenge of the Fallen*,4293,564565065,TRUE
9/4/2009,*Gamer*,2502,28831014,FALSE
9/25/2009,*Surrogates*,2992,54163193,FALSE
11/13/2009,*2012*,3444,233036187,FALSE
11/20/2009,*Planet 51*,3035,59058379,TRUE
12/18/2009,*Avatar*,3461,1064124576,TRUE
1/15/2010,*The Book of Eli*,3111,126566946,FALSE
7/16/2010,*Inception*,3792,390472365,FALSE
9/10/2010,*Resident Evil: Afterlife*,3209,80247624,FALSE
12/17/2010,*Tron: Legacy*,3451,229360711,FALSE
2/18/2011,*I am Number Four*,3156,73166147,FALSE
3/4/2011,*The Adjustment Bureau*,2847,82986024,FALSE
3/11/2011,*Battle: Los Angeles*,3417,110946660,TRUE
3/11/2011,*Mars Needs Moms*,3117,28406770,TRUE
6/10/2011,*Super 8*,3424,168644889,FALSE
6/29/2011,*Transformers: Dark of the Moon*,4107,467928423,TRUE
7/29/2011,*Cowboys and Aliens*,3754,133276283,TRUE
8/5/2011,*Rise of the Planet of the Apes*,3691,234714342,TRUE
9/9/2011,*Contagion*,3222,100464034,FALSE
10/7/2011,*Real Steel*,3440,113479199,FALSE
3/9/2012,*John Carter*,3749,96646720,TRUE
3/23/2012,*The Hunger Games*,4137,539742781,FALSE
5/25/2012,*Men in Black 3*,4248,236820300,TRUE
6/8/2012,*Prometheus*,3442,167312012,TRUE
8/3/2012,*Total Recall*,3601,77887556,TRUE
9/14/2012,*Resident Evil: Retribution*,3016,56017389,FALSE
3/29/2013,*The Host*,3202,34483086,FALSE
4/19/2013,*Oblivion*,3792,115411948,TRUE
5/16/2013,*Star Trek Into Darkness*,3907,296314790,TRUE
5/31/2013,*After Earth*,3401,78388395,TRUE
6/21/2013,*World War Z*,3607,262448225,FALSE
7/12/2013,*Pacific Rim*,3285,131855417,TRUE
7/19/2013,*R.I.P.D.*,2852,43543235,FALSE
8/9/2013,*Elysium*,3284,120518777,TRUE
11/1/2013,*Ender’s Game*,3407,79961672,TRUE
11/22/2013,*The Hunger Games: Catching Fire*,4163,549920142,FALSE
2/12/2014,*RoboCop*,3372,75536323,FALSE
3/21/2014,*Divergent*,3936,194550953,FALSE
4/18/2014,*Transcendence*,3455,29672571,FALSE
5/16/2014,*Godzilla*,3952,258643694,FALSE
6/6/2014,*Edge of Tomorrow*,3505,129151998,FALSE
6/27/2014,*Transformers: Age of Extinction*,4233,316337016,TRUE
7/11/2014,*Dawn of the Planet of the Apes*,3969,268786411,TRUE
11/5/2014,*Interstellar*,3561,242121713,TRUE
11/21/2014,*The Hunger Games: Mockingjay - Part 1*,4151,433988801,FALSE
2/6/2015,*Jupiter Ascending*,3885,59310899,TRUE
3/20/2015,*The Divergent Series: Insurgent*,3875,162608019,FALSE
5/15/2015,*Mad Max: Fury Road*,3722,191895350,FALSE
5/22/2015,*Tomorrowland*,3972,116712267,FALSE
5/29/2015,*San Andreas*,3812,193850466,FALSE
6/12/2015,*Jurassic World*,4291,814794415,FALSE
7/1/2015,*Terminator: Genisys*,3783,112121334,FALSE
7/24/2015,*Pixels*,3723,98387402,FALSE
9/18/2015,*Maze Runner: The Scorch Trials*,3792,102046683,FALSE
10/2/2015,*The Martian*,3854,285240736,TRUE
11/20/2015,*The Hunger Games: Mockingjay - Part 2*,4175,351664724,FALSE
12/18/2015,*Star Wars Ep. VII: The Force Awakens*,4134,1163816804,TRUE
3/18/2016,*The Divergent Series: Allegiant*,3740,80568558,FALSE
6/24/2016,*Independence Day: Resurgence*,4091,125561763,TRUE
7/15/2016,*Ghostbusters*,3963,156246414,FALSE
7/22/2016,*Star Trek Beyond*,3928,193372594,TRUE
12/16/2016,*Rogue One: A Star Wars Story*,4157,644548924,TRUE
12/21/2016,*Passengers*,3478,119813604,TRUE
12/21/2016,*Assassin’s Creed*,2996,65733378,FALSE
1/13/2017,*Monster Trucks*,3119,39173664,FALSE
3/10/2017,*Kong: Skull Island*,3846,197279392,FALSE
3/24/2017,*Life*,3146,35492113,TRUE
3/31/2017,*Ghost in the Shell*,3440,47618082,FALSE
5/19/2017,*Alien: Covenant*,3772,87177164,TRUE
6/21/2017,*Transformers: The Last Knight*,4132,152806706,TRUE
7/14/2017,*War for the Planet of the Apes*,4100,172424538,TRUE
8/4/2017,*The Dark Tower*,3451,59518951,FALSE
10/6/2017,*Blade Runner 2049*,4058,108056364,FALSE
10/20/2017,*Geostorm*,3246,39558872,FALSE
12/15/2017,*Star Wars Ep. VIII: The Last Jedi*,4232,726181506,TRUE
12/20/2017,*Jumanji: Welcome to the Jungle*,3849,470609666,FALSE
12/22/2017,*Downsizing*,2668,28570396,FALSE
1/26/2018,*Maze Runner: The Death Cure*,3793,67078111,FALSE
2/23/2018,*Annihilation*,2112,37834374,FALSE
3/23/2018,*Pacific Rim: Uprising*,3708,69207330,TRUE
3/29/2018,*Ready Player One*,4234,159152305,FALSE
4/13/2018,*Rampage*,4115,116775773,FALSE
5/25/2018,*Solo: A Star Wars Story*,4381,247088019,TRUE
6/22/2018,*Jurassic World: Fallen Kingdom*,4485,482830858,FALSE
8/10/2018,*The Meg*,4118,168114451,FALSE
9/14/2018,*The Predator*,4070,58978067,TRUE
12/14/2018,*Mortal Engines*,3103,18430691,FALSE
12/21/2018,*Bumblebee*,3597,146670032,TRUE
2/14/2019,*Alita: Battle Angel*,3802,98672534,FALSE
5/31/2019,*Godzilla: King of the Monsters*,4108,127026907,FALSE
6/14/2019,*Men in Black: International*,4224,91967135,TRUE
9/20/2019,*Ad Astra*,3460,57694702,TRUE
10/11/2019,*Gemini Man*,3642,55807578,FALSE
11/1/2019,*Terminator: Dark Fate*,4086,71563849,FALSE
12/13/2019,*Jumanji: The Next Level*,4227,360407983,FALSE
12/20/2019,*Star Wars: The Rise of Skywalker*,4406,588455698,TRUE
1/10/2020,*Underwater*,2791,19349096,FALSE
8/14/2020,*Project Power*,0,0,
9/3/2020,*Tenet*,2930,65418404,
12/18/2020,*Monster Hunter*,1817,15886569,
12/23/2020,*The Midnight Sky*,0,0,
3/5/2021,*Chaos Walking*,2132,13454002,
3/31/2021,*Godzilla vs. Kong*,3084,102177550,
5/14/2021,*Army of the Dead*,0,0,
5/28/2021,*A Quiet Place: Part II*,3744,162218462,
7/2/2021,*The Tomorrow War*,0,0,
8/20/2021,*Reminiscence*,3265,3948950,
10/22/2021,*Dune*,4125,109667528,TRUE
11/19/2021,*Ghostbusters: Afterlife*,4315,130890311,
12/22/2021,*The Matrix Resurrections*,3552,40463197,
2/4/2022,*Moonfall*,3446,19060660,
3/11/2022,*Turning Red*,0,0,
6/10/2022,*Jurassic World: Dominion*,4697,376851083,
7/22/2022,*Nope*,3807,123277080,
8/5/2022,*Prey*,0,0,
12/16/2022,*Avatar: The Way of Water*,4340,684075767,TRUE
6/9/2023,*Transformers: Rise of the Beasts*,3680,157066392,TRUE
8/4/2023,*Meg 2: The Trench*,3604,82553224,
9/29/2023,*The Creator*,3680,20560046,